date,Transactions (( Dollar )),"Rate "" Bank """,marketing budget
01/11/2022,0,0,0
02/11/2022,0,0,0
03/11/2022,0,0,0
04/11/2022,0,0,0
05/11/2022,0,0,0
06/11/2022,0,0,0
07/11/2022,0,0,0
08/11/2022,0,0,0
09/11/2022,0,0,0
10/11/2022,0,0,0
11/11/2022,0,0,0
12/11/2022,0,0,0
13/11/2022,0,0,0
14/11/2022,0,0,0
15/11/2022,0,0,0
16/11/2022,0,0,0
17/11/2022,0,0,0
18/11/2022,0,0,0
19/11/2022,0,0,0
20/11/2022,0,0,0
21/11/2022,0,0,0
22/11/2022,0,0,0
23/11/2022,0,0,0
24/11/2022,0,0,0
25/11/2022,0,0,0
26/11/2022,0,0,0
27/11/2022,0,0,0
28/11/2022,0,0,0
29/11/2022,0,0,0
30/11/2022,0,0,0
01/12/2022,0,0,0
02/12/2022,0,0,0
03/12/2022,0,0,0
04/12/2022,0,0,0
05/12/2022,0,0,0
06/12/2022,0,0,0
07/12/2022,0,0,0
08/12/2022,0,0,0
09/12/2022,0,0,0
10/12/2022,0,0,0
11/12/2022,0,0,0
12/12/2022,0,0,0
13/12/2022,0,0,0
14/12/2022,0,0,0
15/12/2022,0,0,0
16/12/2022,0,0,0
17/12/2022,0,0,0
18/12/2022,0,0,0
19/12/2022,0,0,0
20/12/2022,0,0,0
21/12/2022,0,0,0
22/12/2022,0,0,0
23/12/2022,0,0,0
24/12/2022,0,0,0
25/12/2022,0,0,0
26/12/2022,0,0,0
27/12/2022,0,0,0
28/12/2022,0,0,0
29/12/2022,0,0,0
30/12/2022,0,0,0
31/12/2022,0,0,0
01/01/2023,0,0,0
02/01/2023,0,0,0
03/01/2023,0,0,0
04/01/2023,0,0,0
05/01/2023,0,0,0
06/01/2023,0,0,0
07/01/2023,0,0,0
08/01/2023,0,0,0
09/01/2023,0,0,0
10/01/2023,0,0,0
11/01/2023,0,0,0
12/01/2023,0,0,0
13/01/2023,0,0,0
14/01/2023,0,0,0
15/01/2023,0,0,0
16/01/2023,0,0,0
17/01/2023,0,0,0
18/01/2023,0,0,0
19/01/2023,0,0,0
20/01/2023,0,0,0
21/01/2023,0,0,0
22/01/2023,0,0,0
23/01/2023,0,0,0
24/01/2023,0,0,0
25/01/2023,0,0,0
26/01/2023,0,0,0
27/01/2023,0,0,0
28/01/2023,0,0,0
29/01/2023,0,0,0
30/01/2023,0,0,0
31/01/2023,0,0,0
01/02/2023,0,0,0
02/02/2023,0,0,0
03/02/2023,0,0,0
04/02/2023,0,0,0
05/02/2023,0,0,0
06/02/2023,0,0,0
07/02/2023,0,0,0
08/02/2023,0,0,0
09/02/2023,0,0,0
10/02/2023,0,0,0
11/02/2023,0,0,0
12/02/2023,0,0,0
13/02/2023,0,0,0
14/02/2023,0,0,0
15/02/2023,0,0,0
16/02/2023,0,0,0
17/02/2023,0,0,0
18/02/2023,0,0,0
19/02/2023,0,0,0
20/02/2023,0,0,0
21/02/2023,0,0,0
22/02/2023,0,0,0
23/02/2023,0,0,0
24/02/2023,0,0,0
25/02/2023,0,0,0
26/02/2023,0,0,0
27/02/2023,0,0,0
28/02/2023,0,0,0
01/03/2023,0,0,0
02/03/2023,0,0,0
03/03/2023,0,0,0
04/03/2023,0,0,0
05/03/2023,0,0,0
06/03/2023,0,0,0
07/03/2023,0,0,0
08/03/2023,0,0,0
09/03/2023,0,0,0
10/03/2023,0,0,0
11/03/2023,0,0,0
12/03/2023,0,0,0
13/03/2023,0,0,0
14/03/2023,0,0,0
15/03/2023,0,0,0
16/03/2023,0,0,0
17/03/2023,0,0,0
18/03/2023,0,0,0
19/03/2023,0,0,0
20/03/2023,0,0,0
21/03/2023,0,0,0
22/03/2023,0,0,0
23/03/2023,0,0,0
24/03/2023,0,0,0
25/03/2023,0,0,0
26/03/2023,0,0,0
27/03/2023,0,0,0
28/03/2023,0,0,0
29/03/2023,0,0,0
30/03/2023,0,0,0
31/03/2023,0,0,0
01/04/2023,0,0,0
02/04/2023,0,0,0
03/04/2023,0,0,0
04/04/2023,0,0,0
05/04/2023,0,0,0
06/04/2023,0,0,0
07/04/2023,0,0,0
08/04/2023,0,0,0
09/04/2023,0,0,0
10/04/2023,0,0,0
11/04/2023,0,0,0
12/04/2023,0,0,0
13/04/2023,0,0,0
14/04/2023,0,0,0
15/04/2023,0,0,0
16/04/2023,0,0,0
17/04/2023,0,0,0
18/04/2023,0,0,0
19/04/2023,0,0,0
20/04/2023,0,0,0
21/04/2023,0,0,0
22/04/2023,0,0,0
23/04/2023,0,0,0
24/04/2023,0,0,0
25/04/2023,0,0,0
26/04/2023,0,0,0
27/04/2023,0,0,0
28/04/2023,0,0,0
29/04/2023,0,0,0
30/04/2023,0,0,0
01/05/2023,0,0,0
02/05/2023,0,0,0
03/05/2023,0,0,0
04/05/2023,0,0,0
05/05/2023,0,0,0
06/05/2023,0,0,0
07/05/2023,0,0,0
08/05/2023,0,0,0
09/05/2023,0,0,0
10/05/2023,0,0,0
11/05/2023,0,0,0
12/05/2023,0,0,0
13/05/2023,0,0,0
14/05/2023,0,0,0
15/05/2023,0,0,0
16/05/2023,0,0,0
17/05/2023,0,0,0
18/05/2023,0,0,0
19/05/2023,0,0,0
20/05/2023,0,0,0
21/05/2023,0,0,0
22/05/2023,0,0,0
23/05/2023,0,0,0
24/05/2023,0,0,0
25/05/2023,0,0,0
26/05/2023,0,0,0
27/05/2023,0,0,0
28/05/2023,0,0,0
29/05/2023,0,0,0
30/05/2023,0,0,0
31/05/2023,0,0,0
01/06/2023,0,0,0
02/06/2023,0,0,0
03/06/2023,0,0,0
04/06/2023,0,0,0
05/06/2023,0,0,0
06/06/2023,0,0,0
07/06/2023,0,0,0
08/06/2023,0,0,0
09/06/2023,0,0,0
10/06/2023,0,0,0
11/06/2023,0,0,0
12/06/2023,0,0,0
13/06/2023,0,0,0
14/06/2023,0,0,0
15/06/2023,0,0,0
16/06/2023,0,0,0
17/06/2023,0,0,0
18/06/2023,0,0,0
19/06/2023,0,0,0
20/06/2023,0,0,0
21/06/2023,0,0,0
22/06/2023,0,0,0
23/06/2023,0,0,0
24/06/2023,0,0,0
25/06/2023,0,0,0
26/06/2023,0,0,0
27/06/2023,0,0,0
28/06/2023,0,0,0
29/06/2023,0,0,0
30/06/2023,0,0,0
01/07/2023,0,0,0
02/07/2023,0,0,0
03/07/2023,0,0,0
04/07/2023,0,0,0
05/07/2023,0,0,0
06/07/2023,0,0,0
07/07/2023,0,0,0
08/07/2023,0,0,0
09/07/2023,0,0,0
10/07/2023,0,0,0
11/07/2023,0,0,0
12/07/2023,0,0,0
13/07/2023,0,0,0
14/07/2023,0,0,0
15/07/2023,0,0,0
16/07/2023,0,0,0
17/07/2023,0,0,0
18/07/2023,0,0,0
19/07/2023,0,0,0
20/07/2023,0,0,0
21/07/2023,0,0,0
22/07/2023,0,0,0
23/07/2023,0,0,0
24/07/2023,0,0,0
25/07/2023,0,0,0
26/07/2023,0,0,0
27/07/2023,0,0,0
28/07/2023,0,0,0
29/07/2023,0,0,0
30/07/2023,0,0,0
31/07/2023,0,0,0
01/08/2023,0,0,0
02/08/2023,0,0,0
03/08/2023,0,0,0
04/08/2023,0,0,0
05/08/2023,0,0,0
06/08/2023,0,0,0
07/08/2023,0,0,0
08/08/2023,0,0,0
09/08/2023,0,0,0
10/08/2023,0,0,0
11/08/2023,0,0,0
12/08/2023,0,0,0
13/08/2023,0,0,0
14/08/2023,0,0,0
15/08/2023,0,0,0
16/08/2023,0,0,0
17/08/2023,0,0,0
18/08/2023,0,0,0
19/08/2023,0,0,0
20/08/2023,0,0,0
21/08/2023,0,0,0
22/08/2023,0,0,0
23/08/2023,0,0,0
24/08/2023,0,0,0
25/08/2023,0,0,0
26/08/2023,0,0,0
27/08/2023,0,0,0
28/08/2023,0,0,0
29/08/2023,0,0,0
30/08/2023,0,0,0
31/08/2023,0,0,0
01/09/2023,0,0,0
02/09/2023,0,0,0
03/09/2023,0,0,0
04/09/2023,0,0,0
05/09/2023,0,0,0
06/09/2023,0,0,0
07/09/2023,0,0,0
08/09/2023,0,0,0
09/09/2023,0,0,0
10/09/2023,0,0,0
11/09/2023,0,0,0
12/09/2023,0,0,0
13/09/2023,0,0,0
14/09/2023,0,0,0
15/09/2023,0,0,0
16/09/2023,0,0,0
17/09/2023,0,0,0
18/09/2023,0,0,0
19/09/2023,0,0,0
20/09/2023,0,0,0
21/09/2023,0,0,0
22/09/2023,0,0,0
23/09/2023,0,0,0
24/09/2023,0,0,0
25/09/2023,0,0,0
26/09/2023,0,0,0
27/09/2023,0,0,0
28/09/2023,0,0,0
29/09/2023,0,0,0
30/09/2023,0,0,0
01/10/2023,0,0,0
02/10/2023,0,0,0
03/10/2023,0,0,0
04/10/2023,0,0,0
05/10/2023,0,0,0
06/10/2023,0,0,0
07/10/2023,0,0,0
08/10/2023,0,0,0
09/10/2023,0,0,0
10/10/2023,0,0,0
11/10/2023,0,0,0
12/10/2023,0,0,0
13/10/2023,0,0,0
14/10/2023,0,0,0
15/10/2023,0,0,0
16/10/2023,0,0,0
17/10/2023,0,0,0
18/10/2023,0,0,0
19/10/2023,0,0,0
20/10/2023,0,0,0
21/10/2023,0,0,0
22/10/2023,0,0,0
23/10/2023,0,0,0
24/10/2023,0,0,0
25/10/2023,0,0,0
26/10/2023,0,0,0
27/10/2023,0,0,0
28/10/2023,0,0,0
29/10/2023,0,0,0
30/10/2023,0,0,0
31/10/2023,0,0,0
01/11/2023,0,0,0
02/11/2023,0,0,0
03/11/2023,0,0,0
04/11/2023,0,0,0
05/11/2023,0,0,0
06/11/2023,0,0,0
07/11/2023,0,0,0
08/11/2023,0,0,0
09/11/2023,0,0,0
10/11/2023,0,0,0
11/11/2023,0,0,0
12/11/2023,0,0,0
13/11/2023,0,0,0
14/11/2023,0,0,0
15/11/2023,0,0,0
16/11/2023,0,0,0
17/11/2023,0,0,0
18/11/2023,0,0,0
19/11/2023,0,0,0
20/11/2023,0,0,0
21/11/2023,0,0,0
22/11/2023,0,0,0
23/11/2023,0,0,0
24/11/2023,0,0,0
25/11/2023,0,0,0
26/11/2023,0,0,0
27/11/2023,0,0,0
28/11/2023,0,0,0
29/11/2023,0,0,0
30/11/2023,0,0,0
01/12/2023,0,0,0
02/12/2023,0,0,0
03/12/2023,0,0,0
04/12/2023,0,0,0
05/12/2023,0,0,0
06/12/2023,0,0,0
07/12/2023,0,0,0
08/12/2023,0,0,0
09/12/2023,0,0,0
10/12/2023,0,0,0
11/12/2023,0,0,0
12/12/2023,0,0,0
13/12/2023,0,0,0
14/12/2023,0,0,0
15/12/2023,0,0,0
16/12/2023,0,0,0
17/12/2023,0,0,0
18/12/2023,0,0,0
19/12/2023,0,0,0
20/12/2023,0,0,0
21/12/2023,0,0,0
22/12/2023,0,0,0
23/12/2023,0,0,0
24/12/2023,0,0,0
25/12/2023,0,0,0
26/12/2023,0,0,0
27/12/2023,0,0,0
28/12/2023,0,0,0
29/12/2023,0,0,0
30/12/2023,0,0,0
31/12/2023,0,0,0
01/01/2024,0,30.9,0
02/01/2024,0,30.9,0
03/01/2024,638.78,30.9,19738.302
04/01/2024,130.34,30.9,4027.506
05/01/2024,617.96,30.9,19094.964
06/01/2024,32.21,30.9,995.289
07/01/2024,329.99,30.9,10196.691
08/01/2024,136,30.9,4202.4
09/01/2024,662.19,30.9,20461.671
10/01/2024,747,31,23074.83
11/01/2024,130.08,31,4018.1712
12/01/2024,0,31,0
13/01/2024,0,31,0
14/01/2024,130.34,31,4026.2026
15/01/2024,130.02,31,4016.3178
16/01/2024,130.03,31,4016.6267
17/01/2024,1-17-2024,31,1399564.12
18/01/2024,130.29,31,4024.6581
19/01/2024,15.99,31,493.9311
20/01/2024,193,30.82,5948.26
21/01/2024,130.02,30.82,4007.2164
22/01/2024,130.02,30.82,4007.2164
23/01/2024,,30.82,0
24/01/2024,,30.82,0
25/01/2024,130.34,30.82,4017.0788
26/01/2024,130.3,30.82,4015.846
27/01/2024,130.02,30.82,4007.2164
28/01/2024,130.02,30.82,4007.2164
29/01/2024,,30.82,0
30/01/2024,238.14,30.82,7339.4748
31/01/2024,26,30.82,801.32
01/02/2024,,,"9,745"
02/02/2024,203.48,30.82,17669
03/02/2024,897.32,30.9,37889
04/02/2024,,30.9,10081
05/02/2024,,30.9,5754
06/02/2024,130.29,30.9,12311
07/02/2024,4.28,30.9,8743
08/02/2024,,30.9,8008
09/02/2024,,30.9,5372
10/02/2024,,30.9,4153
11/02/2024,130.02,30.9,9336
12/02/2024,8.49,30.9,8286
13/02/2024,174.78,30.9,17625
14/02/2024,129.96,30.9,12266
15/02/2024,0,30.9,8973
16/02/2024,,30.9,9670
17/02/2024,,30.9,9984
18/02/2024,129.76,30.9,12940
19/02/2024,,30.9,3159
20/02/2024,,30.9,2983
21/02/2024,,30.9,2161
22/02/2024,130.34,30.9,5799
23/02/2024,130.22,30.9,8379
24/02/2024,130.02,30.9,8000
25/02/2024,130.02,30.9,14293
26/02/2024,130.02,30.9,16672
27/02/2024,130.34,30.9,18630
28/02/2024,130.16,30.9,17747
29/02/2024,571,30.9,29252
01/03/2024,174.6,31,20022.54
02/03/2024,130,31,16739.22
03/03/2024,368,31,22574.04
04/03/2024,130,31,15530.52
05/03/2024,130.28,31,16487.63
06/03/2024,1287,49.45,81663.23
07/03/2024,81.14,49.35,22811.699
08/03/2024,81.38,49.35,29486.503
09/03/2024,81.38,49.35,28826.843
10/03/2024,81.3,48.82,25072.296
11/03/2024,0,,10605.85
12/03/2024,81.96,48.45,13338.872
13/03/2024,0,48.45,5647.9
14/03/2024,0,48.45,6833.9
15/03/2024,0,48.45,6719.78
16/03/2024,0,48.45,6464.81
17/03/2024,83.77,47.25,11552.1425
18/03/2024,0,46.54,101.59
19/03/2024,15.99,46.54,847.0546
20/03/2024,0,,15102.11
21/03/2024,85.64,46.54,4087.0956
22/03/2024,0,,2324.83
23/03/2024,85.99,47.82,5679.9718
24/03/2024,85.99,47.82,19200.8518
25/03/2024,408,47.82,19555.11
26/03/2024,338,47.39,17856.15
27/03/2024,507,47.39,25807.31
28/03/2024,660,47.39,31875.05
29/03/2024,200,47.39,24478
30/03/2024,339,47.25,16017.75
31/03/2024,881,47.25,41627.25
01/04/2024,214.32,47.41,10161
02/04/2024,574.06,47.41,27216
03/04/2024,1297.7,47.41,63178
04/04/2024,424.52,47.41,20126
05/04/2024,571.89,47.41,27113
06/04/2024,169.48,47.41,8035
07/04/2024,457,48.46,37146
08/04/2024,634,48.46,30724
09/04/2024,255,48.46,12357
10/04/2024,170,48.46,8238
11/04/2024,8.49,48.46,411
12/04/2024,168.61,48.46,8171
13/04/2024,316.42,48.46,15334
14/04/2024,168,48.46,8141
15/04/2024,84,48.46,4071
16/04/2024,310.16,48.46,15030
17/04/2024,0,48.46,0
18/04/2024,0,48.46,0
19/04/2024,311.14,48.46,15078
20/04/2024,310.76,48.46,15059
21/04/2024,0,48.46,0
22/04/2024,311.76,48.46,15108
23/04/2024,0,48.46,527
24/04/2024,0,48.46,0
25/04/2024,313.98,48.46,15215
26/04/2024,0,47.55,0
27/04/2024,0,47.55,0
28/04/2024,0,47.55,0
29/04/2024,342.87,47.55,16303
30/04/2024,15.67,47.55,745
01/05/2024,422.87,47.55,20107
02/05/2024,314.28,47.55,14944
03/05/2024,708.06,47.55,33668
04/05/2024,313.86,47.55,14924
05/05/2024,0,47.55,0
06/05/2024,629.36,47.55,29926
07/05/2024,,47.55,0
08/05/2024,632.9,47.55,30094
09/05/2024,110.52,47.17,5213
10/05/2024,,47.17,0
11/05/2024,328.44,47.17,15493
12/05/2024,325.81,47.17,15368
13/05/2024,456.1,47.17,21514
14/05/2024,51.09,46.9,2396
15/05/2024,641,46.9,30063
16/05/2024,321.77,46.69,15023
17/05/2024,321.77,46.69,15023
18/05/2024,0,46.69,0
19/05/2024,0,46.69,0
20/05/2024,320.77,46.69,14977
21/05/2024,"1,251.20",47.12,58957
22/05/2024,0,47.12,"1,251.20"
23/05/2024,322.09,47.12,15177
24/05/2024,0,47.12,0
25/05/2024,318.76,47.12,15020
26/05/2024,0,47.12,0
27/05/2024,0,47.12,0
28/05/2024,0,47.12,0
29/05/2024,349.77,47.12,16481
30/05/2024,7.42,47.17,350
31/05/2024,317.7,47.17,14986
01/06/2024,44.32,48.21,2137
02/06/2024,306.31,47.53,14559
03/06/2024,58.13,47.53,2763
04/06/2024,319.75,47.53,15198
05/06/2024,317.81,47.53,15106
06/06/2024,316.25,47.53,15031
07/06/2024,316.25,47.53,15031
08/06/2024,39.69,47.53,1886
09/06/2024,316.73,47.66,15095
10/06/2024,316.73,47.66,15095
11/06/2024,8.49,47.66,405
12/06/2024,316.2,47.66,15070
13/06/2024,316.2,47.66,15070
14/06/2024,316.2,47.66,15070
15/06/2024,316.2,47.66,15070
16/06/2024,315.5,47.66,15037
17/06/2024,631,47.66,30073
18/06/2024,631,47.66,30073
19/06/2024,631,47.66,30073
20/06/2024,315.5,47.66,15037
21/06/2024,631,47.66,30073
22/06/2024,631,47.66,30073
23/06/2024,631,47.66,30073
24/06/2024,315.5,47.66,15037
25/06/2024,311.5,48.21,15017
26/06/2024,624.26,48.21,30096
27/06/2024,313.46,48.21,15112
28/06/2024,29.25,48.21,1410
29/06/2024,313.71,48.21,15124
30/06/2024,313.71,48.21,15124
01/07/2024,7.29,48.21,351
02/07/2024,939.98,48.21,45316
03/07/2024,0,48.21,0
04/07/2024,626,47.94,30010
05/07/2024,313.58,47.94,15033
06/07/2024,114.88,47.94,5507
07/07/2024,0,48.02,0
08/07/2024,626,48.02,30061
09/07/2024,0,48.02,0
10/07/2024,313.27,48.02,15043
11/07/2024,313.9,47.96,15055
12/07/2024,634,47.98,30419
13/07/2024,313.48,47.98,15041
14/07/2024,313.53,48.21,15115
15/07/2024,313.53,48.21,15115
16/07/2024,0,48.21,0
17/07/2024,313.28,48.21,15103
18/07/2024,314.16,48.22,15149
19/07/2024,626,48.22,30186
20/07/2024,312.78,48.22,15082
21/07/2024,1745,48.22,84144
22/07/2024,1120.8,48.38,54224
23/07/2024,311.93,48.38,15091
24/07/2024,311.22,48.26,15019
25/07/2024,310.22,48.26,14971
26/07/2024,311.22,48.26,15019
27/07/2024,311.22,48.26,15019
28/07/2024,311.22,48.26,15019
29/07/2024,340,48.26,16408
30/07/2024,623,48.54,30240
31/07/2024,630,48.54,30580
01/08/2024,602.75,48.69,29348
02/08/2024,664,48.63,32290
03/08/2024,309.14,49.24,15222
04/08/2024,309.14,49.24,15222
05/08/2024,309.21,49.24,15226
06/08/2024,315.34,49.24,15527
07/08/2024,622,49.24,30627
08/08/2024,611,49.28,30110
09/08/2024,305.57,49.28,15058
10/08/2024,611,49.28,30110
11/08/2024,620,49.28,30554
12/08/2024,915,49.43,45228
13/08/2024,304.83,49.43,15068
14/08/2024,305.83,48.86,14943
15/08/2024,304.83,48.86,14894
16/08/2024,615,48.86,30049
17/08/2024,615,48.86,30049
18/08/2024,,48.86,0
19/08/2024,307.67,48.78,15008
20/08/2024,308.67,48.78,15057
21/08/2024,616,48.78,30048
22/08/2024,308.67,48.71,15035
23/08/2024,924,48.71,45008
24/08/2024,308.67,48.71,15035
25/08/2024,308.67,48.71,15035
26/08/2024,,48.7,0
27/08/2024,617,48.7,30048
28/08/2024,35.03,48.56,1701
29/08/2024,619,48.56,30059
30/08/2024,309.8,48.56,15044
31/08/2024,925,48.56,44918
01/09/2024,308.52,48.57,14985
02/09/2024,359,48.57,17437
03/09/2024,310.77,48.57,15094
04/09/2024,621,48.57,30162
05/09/2024,310.77,48.57,15094
06/09/2024,932,48.57,45267
07/09/2024,325,48.4,15730
08/09/2024,310.6,48.4,15033
09/09/2024,0,48.4,0
10/09/2024,872,48.4,42205
11/09/2024,1060,48.4,51304
12/09/2024,630,48.35,30461
13/09/2024,933,48.35,45111
14/09/2024,622,48.35,30074
15/09/2024,622,48.35,30074
16/09/2024,310.6,48.35,15018
17/09/2024,0,48.52,0
18/09/2024,2155,48.45,104410
19/09/2024,621,48.45,30087
20/09/2024,621,48.45,30087
21/09/2024,310.6,48.45,15049
22/09/2024,658,48.66,32018
23/09/2024,309.09,48.66,15040
24/09/2024,0,48.55,0
25/09/2024,309.44,48.55,15023
26/09/2024,576,48.55,27965
27/09/2024,310,48.55,15051
28/09/2024,35,48.55,1699
29/09/2024,1125,48.55,54619
30/09/2024,1387,48.27,66950
01/10/2024,118,48.37,5708
02/10/2024,935,48.37,45226
03/10/2024,622,48.37,30086
04/10/2024,470,48.38,22739
05/10/2024,46.3,48.38,2240
06/10/2024,353,48.52,17128
07/10/2024,310.85,48.52,15082
08/10/2024,310.85,48.52,15082
09/10/2024,41.75,48.52,2026
10/10/2024,1270,48.52,61620
11/10/2024,340.89,48.52,16540
12/10/2024,309.8,48.52,15031
13/10/2024,309.8,48.52,15031
14/10/2024,692,48.59,33624.28
15/10/2024,309.11,48.58,15017
16/10/2024,724,48.58,35172
17/10/2024,,48.59,0
18/10/2024,793,48.59,38532
19/10/2024,373.23,48.59,18135
20/10/2024,654,48.59,31778
21/10/2024,425,48.59,20651
22/10/2024,177,48.72,8623
23/10/2024,951,48.72,46333
24/10/2024,0,48.72,0
25/10/2024,0,48.72,0
26/10/2024,1014,48.72,49402
27/10/2024,545.37,48.72,26570.4264
28/10/2024,579,48.7,28197
29/10/2024,,48.7,0
30/10/2024,1238,38.8,48034
31/10/2024,0,38.8,0
01/11/2024,1370,48.72,66746
02/11/2024,596,48.72,29037
03/11/2024,0,49.27,0
04/11/2024,0,49.27,0
05/11/2024,734.87,49.27,36207
06/11/2024,0,49.27,0
07/11/2024,2111,49.27,104009
08/11/2024,2289,49.2,112619
09/11/2024,906,49.2,44575
10/11/2024,360,49.2,17712
11/11/2024,381.93,49.21,18795
12/11/2024,884,49.21,43502
13/11/2024,992,49.35,48955
14/11/2024,,49.51,0
15/11/2024,2075,49.51,102733
16/11/2024,564,49.51,27924
17/11/2024,615.04,49.51,30451
18/11/2024,615.04,49.51,30450.6304
19/11/2024,675.25,49.51,33432
20/11/2024,,49.56,0
21/11/2024,737.99,49.56,36575
22/11/2024,1521,49.56,75381
23/11/2024,0,49.56,0
24/11/2024,814.63,49.56,40373
25/11/2024,0,49.66,0
26/11/2024,1635,49.66,81194
27/11/2024,,49.59,0
28/11/2024,34.33,49.57,1702
29/11/2024,4389,49.57,217563
30/11/2024,1204,49.57,59682
01/12/2024,137.3,49.57,6806
02/12/2024,2612,49.74,129921
03/12/2024,706.25,49.74,35128.875
04/12/2024,1368,49.82,68154
05/12/2024,588,49.98,29388.24
06/12/2024,0,49.98,19075
07/12/2024,0,49.98,23313
08/12/2024,0,49.98,0
09/12/2024,0,49.98,123333
10/12/2024,0,49.98,77333
11/12/2024,0,49.98,10423
12/12/2024,0,49.98,0
13/12/2024,0,49.98,82393
14/12/2024,0,49.98,12000
15/12/2024,0,49.98,72000
16/12/2024,0,49.98,5000
17/12/2024,0,49.98,12333
18/12/2024,0,49.98,78000
19/12/2024,0,49.98,21323
20/12/2024,0,49.98,16000
21/12/2024,0,49.98,3124
22/12/2024,0,49.98,30000
23/12/2024,0,49.98,21308
24/12/2024,0,49.98,0
25/12/2024,0,49.98,43123
26/12/2024,0,49.98,15261
27/12/2024,0,49.98,32132
28/12/2024,0,49.98,0
29/12/2024,0,49.98,31231
30/12/2024,0,49.98,3113
31/12/2024,0,49.98,21333
01/01/2025,6.94,50.77,352
02/01/2025,738.52,50.77,37495
03/01/2025,0,50.75,0
04/01/2025,677.29,50.75,34372
05/01/2025,882.5,50.75,44787
06/01/2025,340.63,50.61,17239
07/01/2025,111.48,50.61,5642
08/01/2025,730.22,50.61,36956
09/01/2025,375.95,50.61,19027
10/01/2025,413.77,50.57,20924
11/01/2025,0,50.57,0
12/01/2025,1.16,50.57,59
13/01/2025,454.8,50.57,22999
14/01/2025,8.49,50.38,427.7262
15/01/2025,501.5,50.38,25266
16/01/2025,0,50.22,0
17/01/2025,552.69,50.22,27756
18/01/2025,0,50.27,0
19/01/2025,0,50.27,0
20/01/2025,1022.99,50.27,51426
21/01/2025,669.17,50.31,33666
22/01/2025,8.3,50.31,418
23/01/2025,735.95,50.24,36974
24/01/2025,0,50.24,0
25/01/2025,0,50.24,0
26/01/2025,416.12,50.24,20906
27/01/2025,729.12,50.22,36616
28/01/2025,809.87,50.22,40672
29/01/2025,402.09,50.22,20193
30/01/2025,0,50.35,0
31/01/2025,14.07,50.35,708
01/02/2025,62.42,50.35,"3,143"
02/02/2025,47.16,50.35,"2,375"
03/02/2025,457.85,50.35,"23,053"
04/02/2025,891.61,50.35,"44,893"
05/02/2025,0,,0
06/02/2025,220.32,50.26,"11,073"
07/02/2025,503.14,50.26,"25,288"
08/02/2025,0,,0
09/02/2025,0,50.27,0
10/02/2025,208.58,50.27,"10,485"
11/02/2025,553.65,50.65,"28,042"
12/02/2025,0,50.6,0
13/02/2025,0,50.6,0
14/02/2025,611.12,50.6,"30,923"
15/02/2025,0,50.6,0
16/02/2025,0,50.6,0
17/02/2025,1637.866,50.6,"82,876"
18/02/2025,0,50.55,0
19/02/2025,0,50.55,0
20/02/2025,731.91,50.55,"36,998"
21/02/2025,74.06,50.55,"3,744"
22/02/2025,108.3,50.55,"5,475"
23/02/2025,0,50.61,0
24/02/2025,0,50.61,0
25/02/2025,0,50.65,0
26/02/2025,0,50.65,0
27/02/2025,1178,50.65,"59,666"
28/02/2025,0,50.65,0
01/03/2025,50.9,50.65,"2,578"
02/03/2025,0,50.65,0
03/03/2025,0,50.65,0
04/03/2025,0,50.65,0
05/03/2025,884.22,50.65,"44,786"
06/03/2025,729.34,50.68,"36,963"
07/03/2025,0,50.66,0
08/03/2025,0,50.66,0
09/03/2025,630.19,50.66,"31,925"
10/03/2025,0,50.66,0
11/03/2025,0,50.66,0
12/03/2025,0,50.47,0
13/03/2025,0,50.47,0
14/03/2025,10.2,50.47,515
15/03/2025,0,50.57,0
16/03/2025,0,50.57,0
17/03/2025,973.08,50.57,"49,209"
18/03/2025,0,50.27,0
19/03/2025,0,50.27,0